numero,tipo,medio
21342296711,Email,vcastro@example.org
18640427936,Email,martinezronnie@example.net
56902673313,Telefono,Telefono
94039677007,Email,wilsonjeffrey@example.net
71018050695,Email,david61@example.com
50234948141,Email,ncontreras@example.net
6813296755,Telefono,Telefono
9023804182,Telefono,Telefono
13139979407,Email,dsmith@example.com
74954943317,Celular,Celular
88156936797,Telefono,Telefono
32480675562,Email,kperez@example.net
95738707485,Telefono,Telefono
12120310276,Celular,Celular
25460276014,Telefono,Telefono
31946753217,Email,thompsonmaria@example.net
36100076673,Telefono,Telefono
86799258279,Celular,Celular
94521847143,Email,chardy@example.com
97705453385,Email,karenhanson@example.com
41692821865,Celular,Celular
24233033618,Email,jennifer12@example.org
71586838876,Email,wskinner@example.net
3265313114,Celular,Celular
36078174441,Telefono,Telefono
37679749100,Celular,Celular
45685674997,Email,ann29@example.org
55504725893,Email,jonathancrawford@example.net
85276836313,Celular,Celular
7412581408,Telefono,Telefono
51838665405,Email,barberdebra@example.net
3071656138,Email,davidolson@example.net
70648608248,Telefono,Telefono
7732268794,Telefono,Telefono
83353378154,Email,loganhaley@example.org
55683173658,Email,lisagriffith@example.org
39351592701,Email,mariaperez@example.com
95009496488,Email,timothylawrence@example.org
89041037235,Celular,Celular
10133290661,Telefono,Telefono
70731563551,Telefono,Telefono
1030780335,Email,frankshelton@example.net
26073295556,Celular,Celular
81323227218,Celular,Celular
46305034557,Celular,Celular
94963248399,Celular,Celular
6186846478,Telefono,Telefono
94743787292,Telefono,Telefono
71374833783,Telefono,Telefono
71840286057,Celular,Celular
98218453071,Telefono,Telefono
40555263796,Telefono,Telefono
55239854862,Email,nancycampbell@example.org
77160882515,Celular,Celular
98562806838,Telefono,Telefono
10668311066,Telefono,Telefono
24274659265,Celular,Celular
22806170887,Celular,Celular
93023055797,Celular,Celular
28335284731,Celular,Celular
1011636970,Celular,Celular
15590226600,Email,timothycohen@example.net
63353204923,Telefono,Telefono
68674819880,Telefono,Telefono
11360582176,Celular,Celular
5820434806,Email,rhondaturner@example.net
