legajo,DNI,nombre,estado_civil,email,sexo,fecha_nacimiento
87776766,54918605,Victoria Cooper,Divorciado,ernest48@example.com,M,1974-09-15
70776903,48539609,Vincent Ryan,Casado,brianporter@example.org,F,1984-11-01
74323109,35590766,Brittany Jones,Divorciado,veronica74@example.net,M,1964-03-04
22159241,56018590,Sabrina Oliver,Soltero,leah63@example.com,F,1995-11-11
17899770,17195722,Kevin Figueroa,Soltero,millerstacey@example.net,M,1963-12-03
9715777,26554320,Rebecca Palmer,Casado,christinewells@example.org,M,1983-03-09
81721447,20519877,Susan Miller,Soltero,jaredlittle@example.org,F,1972-08-23
5911910,62038157,Joseph Hawkins,Divorciado,jose29@example.org,M,1959-11-09
3116335,80581180,Edward Nolan,Divorciado,cpadilla@example.net,F,1958-10-10
3907481,51204940,James Manning,Soltero,sherryosborne@example.com,F,1975-10-23
62518245,41989094,Chad Murphy,Divorciado,vanessarodriguez@example.org,F,1975-08-05
33687198,89236125,John Higgins,Divorciado,doylecrystal@example.org,F,1999-06-28
35585081,67020568,Michael Williams,Divorciado,larsonrachel@example.net,F,1987-01-19
48171961,23884689,William Brown,Divorciado,hamiltonzachary@example.com,M,1960-10-09
70397950,97378189,Charles Prince,Casado,daniel04@example.org,M,1976-06-03
42287469,91162269,Mathew Daniels,Divorciado,pabbott@example.org,M,1962-11-09
788722,68152209,Eric Miller,Soltero,ybond@example.org,M,1998-07-17
24165540,84051339,Daniel Schultz,Divorciado,sergioshah@example.net,M,1987-11-26
7246757,48818502,Jeffrey Duran,Divorciado,kelly80@example.net,F,1973-05-22
31714663,52547294,Cheryl Turner,Casado,ecarson@example.org,F,1982-01-12
16945806,34520015,Jacob Robinson,Casado,robert97@example.net,F,1975-03-28
43228620,95876251,Mark Stewart,Soltero,garnerkelly@example.net,M,1967-06-16
44607299,91769467,Kelly Mendez,Divorciado,victoria33@example.com,M,1987-09-18
23112287,60891829,Patty Anderson,Soltero,wheelerjose@example.org,M,1959-01-13
33656235,72131184,Danielle Williams,Soltero,scottrobinson@example.com,M,1997-05-31
52250022,65502980,Sarah Lee,Soltero,hesteremily@example.net,F,1990-01-25
38581835,47422623,Todd Hale,Divorciado,qhowe@example.org,M,1960-12-24
99611962,52458052,Laura Davis,Divorciado,kaylamcpherson@example.com,F,1996-04-18
49911213,25138774,Mary Branch,Divorciado,mooredaniel@example.com,F,1984-12-26
56751047,78010841,Samantha Allen,Divorciado,canderson@example.org,M,1972-05-08
87025202,89688232,Brandon Mendoza,Casado,christopher35@example.org,M,1963-06-17
94549378,57635352,Ashley Payne,Soltero,fthomas@example.org,M,1974-01-08
1337342,80441346,Ryan Green,Soltero,heatherhuffman@example.org,F,1979-10-22
22154783,73144326,Stephen Sutton,Divorciado,erussell@example.com,F,1986-04-29
44008244,28606351,Sharon Kent,Casado,qcook@example.org,M,1964-02-26
93248445,15221322,Denise Parsons,Divorciado,suzannedavis@example.com,F,1970-06-28
96024843,80539525,Lauren Hernandez MD,Soltero,bmiller@example.net,F,1965-12-03
84278995,30204229,Gabriel Kennedy,Casado,thomaswolf@example.net,M,1961-05-09
95757719,94851463,Brittney Hawkins,Divorciado,joshuadominguez@example.org,F,1998-01-11
61859857,89973311,Craig Kim,Soltero,matthew83@example.net,M,1988-02-28
53855634,46059764,Richard Baker,Soltero,sharon94@example.com,M,1964-10-09
76803512,15966809,Grace Anderson,Casado,michael18@example.net,M,1971-07-31
80270247,13822701,Jonathan Evans,Divorciado,loganlee@example.org,M,1975-06-12
59705438,22971747,Alice Bailey,Divorciado,harrisbrian@example.org,F,1997-04-23
67663166,53043157,Edwin Lewis,Divorciado,lewisholly@example.net,M,1967-02-15
84835610,20565831,Jennifer Palmer,Casado,kburke@example.net,F,1975-07-14
7117906,59945380,Michelle Fisher,Divorciado,johnmartinez@example.com,F,1969-12-11
49451133,87541107,Joshua Jones,Divorciado,millermichael@example.net,M,1964-08-03
84769545,85485995,David Griffin,Casado,thompsonderek@example.com,F,1974-02-18
61915335,47206352,Tracy Nguyen,Soltero,eringriffith@example.org,F,1998-12-06
11814297,59068217,Jose Nolan,Casado,pyang@example.org,M,1977-07-11
22821981,58242011,Charles Mcconnell,Divorciado,krios@example.org,F,1993-10-06
41826234,74664174,Kenneth Lindsey,Soltero,crystalwashington@example.com,F,1962-07-23
85823596,20220441,Joseph Pollard,Soltero,vanessa98@example.com,M,1986-02-15
39334735,56584618,Diane Benitez,Soltero,gwilliams@example.org,F,1979-03-10
2768753,68706608,Cynthia Osborne,Soltero,patricia80@example.com,F,1964-06-13
61968462,19925416,Brandon Greene,Soltero,tinabaker@example.com,M,1975-11-13
93983931,90754020,Heidi Hernandez,Divorciado,simpsoncrystal@example.org,M,1993-03-25
96836706,83333160,April Clark,Divorciado,randall47@example.org,F,1964-12-07
8530172,71294365,Diane Bell,Divorciado,marcusbennett@example.net,F,1987-11-03
89473641,70975909,Alfred Santos,Casado,davidcook@example.org,F,1996-07-04
61889215,71134907,Jessica Anderson,Soltero,scollins@example.net,F,1972-10-01
93150094,56289209,Andrew Ferguson,Divorciado,johnruiz@example.com,F,1979-01-05
38036331,16484818,Christopher Mcbride,Soltero,vmedina@example.com,F,1997-04-03
61542786,71105724,Tina Stevens,Soltero,davidbarber@example.org,M,1962-02-09
78927655,49698370,Timothy Roberts,Divorciado,jamierodriguez@example.net,F,1980-11-10
87644390,76884596,Sara Hall,Soltero,wperez@example.org,F,1977-01-28
56116550,12561070,Evan Reeves,Soltero,ijohnson@example.net,F,1998-06-22
6749214,15049893,Jennifer Rodriguez,Casado,brownmichael@example.net,F,1978-12-19
35193924,40329243,Joseph Fox,Divorciado,zhoward@example.com,M,1961-06-14
45643464,58273011,Paige Wood,Casado,dennis71@example.org,F,1999-01-17
19273708,42939556,Hannah Carson,Casado,justinmitchell@example.net,F,1971-02-05
61401257,90239982,David Peterson,Casado,halljessica@example.net,F,1984-09-23
49011029,64302079,Gregory Williams,Divorciado,amy42@example.com,F,1987-02-19
46253845,89645248,Joseph Martin,Casado,nicholassampson@example.org,F,1959-03-17
77277825,47360741,William Miller,Casado,daniel64@example.net,F,1973-02-14
24650782,33328127,Lori Sanchez,Soltero,arogers@example.net,M,1985-01-20
8891431,42100539,Alexander Collins,Soltero,josephmartinez@example.com,M,1998-05-07
21718434,11719079,Matthew Hardy,Casado,carterdaniel@example.org,F,1964-08-03
19406129,50460557,Angelica Taylor,Casado,stephaniejordan@example.org,F,1984-02-25
91306129,49438313,Christopher Robinson,Soltero,emartin@example.com,M,1986-11-02
14577454,27074973,Michael Hamilton,Divorciado,justinsimmons@example.net,M,1977-07-30
41791203,92074668,Darlene Rose,Soltero,ymaldonado@example.com,M,1988-08-11
50268402,38596656,Andrew Rivera,Divorciado,melanie85@example.net,M,1959-02-07
94920815,41750842,Christopher Gallegos,Casado,terryjennifer@example.com,F,1974-07-16
16320005,99809008,Danielle Clark,Divorciado,reginamurphy@example.net,F,1982-07-20
49535350,95771224,Jennifer Berry,Soltero,reidangela@example.org,F,1991-11-25
36207520,43075227,Danielle Kim,Casado,christopherpage@example.org,F,1993-07-05
83793512,69736893,Curtis Johns,Divorciado,znash@example.org,F,1987-04-27
32216586,34044358,Douglas Anderson,Divorciado,becksteven@example.org,M,1973-01-20
1077122,27871214,Renee Flores,Divorciado,jasongomez@example.net,F,1978-10-25
42830810,51578863,Cindy Mcmahon,Soltero,nthomas@example.net,M,1982-03-06
53704523,46006033,Joanne Lin,Soltero,lopezdonna@example.com,M,1964-07-22
