nro_documento,parentesco,Legajo
701965273,Conyuge,95184394
956816059,Padre,94226935
210855942,Hija,45846230
754445317,Hija,47790033
869182920,Hijo,9441496
787388247,Padre,34127593
143013912,Conyuge,78286875
423682022,Madre,27843033
166340753,Madre,53496362
393662931,Madre,87826406
651188182,Madre,10431625
906094446,Conyuge,88292621
348875800,Conyuge,65901406
773604878,Hijo,59626690
600270465,Madre,80755017
829717292,Conyuge,54740806
894753509,Padre,18815534
301851934,Conyuge,53620712
473175131,Padre,87461262
514270090,Padre,26137879
348662943,Padre,95330701
465689045,Madre,82798634
152612181,Hijo,31914602
314219300,Conyuge,28083418
594620250,Madre,18116093
808624786,Conyuge,52109454
52953480,Padre,10333018
337778688,Madre,71643518
984557848,Conyuge,21071361
145237956,Padre,28861104
261892748,Padre,97428985
704598429,Hijo,23075539
976339655,Conyuge,68987801
56581284,Padre,78484254
848728864,Conyuge,63969028
119796389,Hija,17469475
505879087,Hijo,19324196
826084588,Hija,61401257
827895666,Hija,56088429
87185317,Padre,53949661
783544478,Madre,24433287
66045474,Hija,77439730
818851198,Madre,93192019
990512967,Conyuge,16091475
16530632,Hija,35840753
218172803,Hijo,71892799
129665118,Conyuge,28318264
849647018,Hijo,73623971
490234036,Conyuge,71290945
368623396,Hija,55400001
26716925,Hijo,77856129
653011428,Hija,55823855
536406476,Hija,41905722
832513117,Padre,51902371
771423048,Conyuge,41308159
951670103,Hijo,17978989
956977799,Conyuge,40778644
301977804,Padre,52902874
896255067,Hija,28248915
963815441,Conyuge,89881590
776556869,Hijo,69609864
698649921,Hijo,16756683
531513441,Hijo,64613579
628627071,Madre,39480140
272727539,Madre,62997503
324064029,Hija,14299224
955169202,Hijo,22628058
587322157,Madre,25676239
660681371,Hija,49780315
330909110,Hija,99540110
81637741,Conyuge,95858588
135543309,Hija,85295218
921547495,Conyuge,38884668
907261586,Conyuge,90745787
745723173,Hija,77186160
544690752,Madre,15516287
711598506,Conyuge,29328290
36780438,Hija,14469079
922458948,Conyuge,74127412
418786862,Hijo,37885750
380013107,Conyuge,59194246
650939404,Hija,49633794
168153844,Hijo,82071845
761262424,Conyuge,36012085
648010997,Conyuge,15993281
