legajo,numero
87776766,12203842215
70776903,35843177915
74323109,63571175188
22159241,95398831206
17899770,41247247078
9715777,91911578698
81721447,21805717237
5911910,16986505392
3116335,42537001212
3907481,9490642337
62518245,63102891187
33687198,42768421212
35585081,70729761318
48171961,9311980087
70397950,98013367935
42287469,45976659632
788722,68776723337
24165540,18330055916
7246757,71245527955
31714663,53602519312
16945806,45122145988
43228620,57842716302
44607299,83760933903
23112287,44150551862
33656235,13915722603
52250022,17495368921
38581835,22763099763
99611962,38534144848
49911213,23942846965
56751047,77801494814
87025202,75081630443
94549378,76037931273
1337342,68396692624
22154783,51858132649
44008244,92774778869
93248445,95126099069
96024843,73148013608
84278995,46426979471
95757719,21032941048
61859857,74906188759
53855634,40450683208
76803512,78816408659
80270247,68561504040
59705438,82117323431
67663166,43491491720
84835610,11514166282
7117906,74484415853
49451133,5768669875
84769545,62484308223
61915335,93365510182
11814297,10867437437
22821981,13366692878
41826234,9546061224
85823596,32132175826
39334735,69267612114
2768753,63390644755
61968462,73891357701
93983931,82540717347
96836706,69725283049
8530172,78612751430
89473641,50999495444
61889215,76975136305
93150094,34626812271
38036331,72325887528
61542786,96136876714
78927655,81620961248
87644390,44462891960
56116550,54889947446
6749214,17985372743
35193924,28952359677
45643464,89103976938
19273708,17417378112
61401257,58717913213
49011029,21850387921
46253845,5452440823
77277825,45175824866
24650782,29428164653
8891431,2644730423
21718434,72192389391
19406129,82238932478
91306129,25915745009
14577454,19818875274
41791203,99912812829
50268402,95025295859
94920815,28913344151
16320005,63833348519
49535350,98228394399
36207520,62510249002
83793512,40419249158
32216586,33193874486
1077122,59761682662
42830810,60443278394
53704523,90728179707
24842075,52548303862
19507935,18203187232
18701848,34921512300
27446642,50528139870
66227153,54579892047
72244813,36635343037
46234560,45084416473
67388544,93648997978
28115076,55068608230
57813720,31540159777
65741444,47131137259
72394983,93136244039
2276207,73666057726
10013016,97085375777
68871402,71236653243
74255443,66336677437
22773354,61203146917
44501303,13505162913
75477803,41866225400
46514264,86105354634
80582062,88776225848
59092002,16606549966
62416865,36538116366
42583690,53625562827
48962490,16388008049
23655424,2081162194
96183531,51813514344
92219874,79062017734
10864939,31440886186
97347560,96472421837
81473899,65389663250
20546693,56449441008
23664558,80311747083
66990906,66071262962
6300132,69545401069
55852439,98703524853
40340986,86494376451
23494002,84544578292
11731693,14999112733
76364079,31063892117
98652801,39301940821
78279759,8820088458
16059849,46470340835
26898382,19700966036
2575534,70973469458
98647330,20571317795
96367838,97876518353
48361826,44741885017
40271727,12865788272
73623971,51459950635
48392415,47413980570
61430766,17733454395
72516606,16405598003
88376403,36414573172
33007385,22918481926
28373251,39581194034
17469859,83544506288
29321110,48747946548
17562236,13152492443
63094528,27565086966
56846753,42323827849
51013988,24220579422
20867213,81394077472
29078925,34012076589
16059167,38995422407
47090335,52053237023
14790701,11016689932
46886878,26302647028
61586902,2788186093
98849532,82530060517
56724123,36250444690
90645412,73585062752
80388856,94676780464
18367313,68610744842
96918395,81511026079
31314014,79885384235
5731444,67881422920
44938599,88752429165
1988030,80084337893
85560439,42107390366
30867137,95651952926
45999144,44245683277
7471904,2374211986
91407507,77166888212
15844409,72944577086
80108781,4164471511
27446939,69261662078
39628133,29051437179
62645098,22536518903
39781394,22202409131
35750579,88837282143
65370511,6288511641
36968313,3606388570
1721630,96349445657
54570680,64532373227
29818749,49535213560
2543759,6921768972
675974,63096435653
75382167,43444372832
74483375,21454663466
93891626,92003411191
52034943,72648048164
52239942,66556750808
62692973,7665488905
71942767,14360897728
46073343,19659313381
54720531,12101378937
14483551,33132864110
21408395,31657567133
33105539,65162913168
13309161,41092039283
55206179,6592045368
35254345,9315138607
95511018,60430072479
20735147,12794765864
66969166,61961571325
405768,17535097013
54407096,17718902243
68886948,11948021458
86039455,70097651303
42445249,39859511353
27747672,72278486936
2202434,32622014426
14485312,78361006044
93369511,64102724335
54897823,53573579027
57737928,16835275453
84727794,17883133396
81568413,43727344455
29574224,59856566275
6317726,4841957003
89944180,50234948141
47801787,87663045063
55936913,86489644490
30301257,98969591383
12060267,93379523408
58597594,33843396629
1896301,66031321299
1237657,25342689782
5762921,32549405478
18068919,61703323628
80540394,88371305792
3245997,27705459084
55286228,47152787107
85320841,17495738079
9459840,45119548447
33947607,73901874182
77725457,91586824487
76618963,18978701131
32753649,39347395197
59251292,12758136637
52060973,82824704572
57137712,99194150067
74034564,79080802957
22231532,52447042383
38075933,50375263531
74556812,25695653879
17719658,45792198327
57522328,39306322618
50939666,95883469898
844091,78718552292
49538481,90997739790
73474040,50919693316
46234378,88412297535
17057527,13279085004
11366785,66396381465
75854142,14411261759
17066211,87597747777
99134714,22346497561
