nro_obra,nro_documento
7786134,347599620
29757287,477131731
24734590,681382386
6210790,97353398
24129831,866529616
83854852,604313077
19522606,452663928
58639455,219236420
18517323,906198483
99309629,885470855
65876771,543032633
88941183,900630874
4640901,384116030
32079656,505516916
42939708,662028749
1260956,568722137
14851496,196444739
27613638,107296804
38944736,287799808
73255492,514417139
57053763,249369529
84665730,123688355
99666789,467765306
39147704,66699857
69556259,51619529
69745125,73984928
23733771,22983072
71499786,182799491
69652688,515609276
44138141,957161377
51552336,942517476
954167,201755569
14036288,309190978
44603212,102205983
46782678,666537582
99568294,794248552
91801223,697292697
82744892,334685055
44537722,419641420
57566272,723322995
9718768,608785969
64335249,265272356
49633397,439779616
19182417,120438499
48109891,804713046
37389343,383435538
97384926,663476288
69465854,999145530
73695425,951670103
77226323,868424913
72351309,837196546
41382052,809283540
8329634,742650575
89964193,896255067
61984270,25609703
26041207,601773961
31817209,800950820
63949053,685418699
68954380,519376384
58091713,615183328
48274154,320985057
3149458,172796143
52594463,326208322
53505894,213462647
10020966,503160759
11667545,531211451
47513438,713289608
15257457,469162237
65962125,216651282
21245882,53859608
40689501,925415555
30827855,895042153
90093517,112084130
45446555,381876714
59343520,786118563
14702310,978218268
15203867,619403942
19458872,30837796
27944293,455124005
77472244,591139635
97239402,836143674
27519355,482419760
77366589,555748898
95900470,976858439
99827699,318869314
19957867,369173877
89147647,555323480
897583,118969201
15490761,316275689
58385476,531741426
6219508,295699301
498918,694683325
5204319,670637784
75376424,965722678
36005602,871388444
38050451,255232820
92634220,923547124
99587535,759573850
94645452,539393874
62501718,326540055
91934945,548691317
73878757,486553497
25539124,488773926
96193227,499668821
20191815,967833368
40176045,669784646
38633577,97183006
19449218,945420176
40134321,802569774
40104281,256173155
38541844,24731731
80666373,419268861
55017887,902524435
43566675,252871640
89897169,292335854
12050602,153723098
2891383,151919080
95545947,140081229
79153594,681253300
54752804,460172733
97949623,188296727
49112800,334805396
42786551,228027677
3986177,60366052
53609460,531485213
49676211,316533526
6577055,627911741
86789825,62023055
7640799,606871375
59910312,666048177
17099817,851789247
9950686,269348208
18793924,983503293
85741228,148119482
36186682,308436426
18677139,630783207
55841261,977405046
47540604,183861622
80533299,863868611
41831925,334152957
9834367,534678361
56774167,512597140
56324353,112910250
97628635,717268401
46728805,500289880
88316595,957983361
22402184,687741503
28185478,252019588
9796809,659467883
82169165,656471969
87000522,559708623
26791439,955851856
64425451,240639071
86315759,468457364
96873051,624164679
81267933,187005108
71477414,524168744
49789862,240603944
48248739,403081515
90694967,907163760
22281879,524477788
599208,834158125
57795103,720391698
31769569,308436426
66527643,187601904
39875405,422736716
59367476,387773897
70814361,593321758
6532899,428080649
86335441,723642563
99742414,715503795
57478154,746849495
81439787,190520826
96650721,127578025
4173270,763193918
43655010,350113416
27875770,607051815
49006363,810504321
62175128,188249484
56565527,558617068
96469689,402249131
73894492,189930660
64471419,276972593
58110231,976522029
61357394,111644762
97094640,682400674
24686861,65684841
65536643,985198561
83989330,551918511
38575084,685598894
76373208,830268298
64009403,371764169
4235002,928146720
54790362,793146313
52773721,64087888
6850279,832487344
15756417,491737081
71977348,600629892
20734898,712969035
76183467,45168230
28653849,686568731
61937524,844034434
46677828,382387783
63030054,238823729
93416300,997160461
23911913,433286138
43431149,314298207
42078353,847354750
4124505,926977555
13789602,253868171
7407048,495282260
38337502,531695333
37423177,875534990
51439451,957262652
49732994,615646786
98695651,908588579
25374189,990101586
25200679,330372906
77430941,308795056
90178414,72842386
56975527,327798939
55665674,304333936
32617856,880713802
38180177,886440683
76701803,368176303
21367326,13960479
88254641,999207919
65964847,556115621
69730755,598508806
17433213,933360722
70613133,17762809
63654519,163896217
85747845,932704176
35656487,722595502
82520830,704714164
76636494,238911043
45066820,886097833
75389965,285983255
66895292,283588913
16495653,68736296
1645260,896329199
57649061,948609770
28476924,108584038
97844997,550503578
99456115,161433235
40061797,70679563
40169830,650841509
65300863,923966842
62717793,143896060
7922709,646689687
9152175,97841834
84924158,622964045
88500398,924646984
71649703,795867334
56712948,122718930
65487542,964652479
81957731,812982894
51317068,12458948
69251856,893488032
37784874,854279245
104449,279385962
12286630,213124644
22759007,719850936
99515280,283637824
36060348,958729061
19691601,353945833
34325719,763247259
9229437,11832123
36475264,236849340
65289816,480286543
97716052,808014795
84399228,938915528
88761545,946517745
37448172,408271267
2769385,290454817
41143262,294842944
86620575,579089950
50049882,183411751
46853320,920756896
56813394,642248497
76871767,375731622
90390303,50251651
56547470,84323281
25266017,677524356
15042738,183706393
59498784,237781083
93411415,365227942
45141553,482953314
57804461,920454271
32369449,220230222
1257168,410317286
8194726,35667534
41619023,602648446
88242228,344484766
10132507,629999641
49451111,510549733
16736111,439223101
75852338,458775317
98983027,567565182
69690121,356524526
35039222,972570156
11840466,938574338
31041053,747592458
34229883,461391654
98975778,637115745
16480015,143894039
29736360,188456346
92676870,835160695
7682128,681534453
45753102,489079880
43275415,94012459
18406518,178785867
14359054,336754687
2794617,32578035
78399246,947421943
90452130,821833860
92348558,91858246
18886028,804860605
92654593,898736869
37681001,792131787
90592165,84097109
61169839,534678361
94609943,130598649
78557479,384317227
23529922,61162992
17447936,357176515
57937101,791223428
44385916,177391196
20945092,256541139
26360326,579501797
23758947,364755201
42093793,102205983
43125063,748569791
89717807,834384635
83562826,378030907
62794012,325601265
65964847,518439550
49633397,967650814
68069402,180304412
14170314,687741503
95856510,155908144
52768501,73546598
56470120,461474291
28283318,207064343
90720784,199947814
92656409,97841834
85729249,985172185
89130879,195774725
21667846,942249597
67591318,702074531
25266017,721318146
60552626,83356012
58905125,661829554
96649216,171805004
33713299,440666555
28973593,29627902
25059401,747414125
41901620,321689584
74973326,104257192
12556306,319777867
99153954,463272930
48702856,111763234
71704525,940941716
89779936,594620250
80936202,502894343
8845537,353841080
15259213,100284837
4699601,947581610
23264168,112368625
7425902,926499904
75655505,418556913
87929483,291712776
52188849,855666463
69730755,30036742
53387150,968169441
66724749,146483263
45654485,398214624
98886020,833637259
3626726,463039490
14542387,315208076
96477045,761553294
86919408,612889930
57307567,975210458
39625396,841470353
4899085,256821376
26396633,485321783
70048158,205792242
97555448,603365447
33610938,169187880
72509038,168182116
63867850,387665410
54275818,64087888
92080393,371702416
705412,395956128
34363106,736185534
93207157,929040655
4015289,842903025
52313091,809825751
77933074,530321007
30135767,490843838
77897746,382282990
1131809,907138360
59504004,439318589
24044499,964498805
49777333,547278308
69131218,152474390
98654568,463611956
86458184,94608568
31080576,697648969
18178121,528593184
98915958,332811093
19957867,398199422
44811177,332969615
30550302,279550553
9002626,178558671
9719072,988657124
99019040,533034620
7887706,50463884
54724685,150516946
7714591,304171556
34691007,906223659
48702291,714704607
43204611,394061494
23834312,88465178
35573449,645995332
93125985,751986685
25993768,211681892
1188353,825081857
87158397,902277483
