Nro_Obra,Nombre_obra,Plan,Legajo,CUIT
67217938,Lopez-Smith,painting,45032717,557267083618
3584679,Young-Mccoy,mind,69364321,9671815208922
94210314,"Padilla, Garcia and Brown",unit,9317973,4836917493028
29893807,Oneal PLC,discuss,88186874,9213883717289
28556449,Robinson-Coleman,decide,34171282,4223401759906
87950441,Henson-Chen,change,90107322,3145226903884
35816289,Mann Group,choose,10043317,5269784967549
83522807,Black-Schroeder,memory,99985574,1745319680969
52717980,"Pratt, Armstrong and Bennett",hand,74034564,5366757019265
25030968,Dougherty-Dunlap,that,44003892,9476495300022
86773016,Preston Ltd,card,63542295,2728128961749
43494008,Johnson-Johnson,event,10944589,4592338300386
61314911,"Ochoa, Johnson and Norris",alone,89891707,3673926400389
91244063,Ortega LLC,yard,94885276,6903801094521
22360257,Valencia-Baker,last,35817562,5814638369957
58730253,Simmons Ltd,company,72401920,6141577770929
59603572,Snyder PLC,term,24705636,344106314273
7600662,Collins-Roberts,yes,16059904,858645573758
55207719,Hansen-Nguyen,father,2783843,5539783153244
28644789,Simmons-Green,start,39942269,7869580695146
4235002,Paul-Wood,eye,97507050,564410316270
45100620,Caldwell-Acosta,particularly,43550268,842211276025
67981984,Bush and Sons,bit,81438331,6916702537515
70703971,"Tapia, Stanley and Turner",wife,96474438,5533442636361
89864492,"Sanchez, Owen and Campbell",society,60545375,5129648953668
70200754,Horton-Sullivan,require,63016723,137023447670
74216336,"Collins, Clarke and White",fund,31187645,993325134187
59404148,Dean-Miller,one,1611226,5620800500580
5122169,Pierce-Gross,late,71318465,6707982472698
47115953,"Marshall, Watson and Carson",tonight,25705928,1105934133108
33139149,Brown-Russell,phone,66492736,7576855947779
1121966,Harris-Perez,school,31971119,4735827392815
85225635,Phillips PLC,of,23638103,3155286720427
13774411,Blackburn-Ross,wrong,78630333,4976695401005
69945121,Ryan Inc,deal,6726608,2180592694025
9926756,"Lee, Gray and Hanson",candidate,65823518,2062437415528
27206460,Turner PLC,subject,21002684,9665178378470
37929047,"Peterson, Lee and Ramos",mention,60797764,2709093616213
44311270,"Schneider, Myers and Reed",seem,84513524,639969599626
66658913,Garcia LLC,my,56329927,6038757020426
99530652,Todd PLC,remain,73808791,6229887594980
16344323,Barnett-Chambers,resource,89212165,9298057688624
22535234,Hodges Group,nice,48310230,3973473931049
65124029,Short LLC,see,77274645,2712132064974
81854597,"Reynolds, Molina and Harmon",edge,77008398,7990900030096
17506722,"Chavez, Mcgee and Bowen",also,77818452,2666995911646
58448669,"Cooper, Cobb and Velasquez",back,48155195,5279950042382
79880751,Kennedy-Parks,option,8852107,9276426932099
96359339,"Rodriguez, Ortega and Hamilton",attack,54853923,1303950206004
83231405,"Marshall, Martinez and Carter",number,34060959,2032556847127
3055272,Simmons-Vaughn,few,46697853,4945400809277
7428820,"Dean, Ramirez and Arnold",world,83986607,8730898123858
74753508,Blackwell-Thompson,such,54195245,5868013140920
2692689,Molina Ltd,president,55269391,1042160668997
66779965,"Wilson, Bishop and Ashley",hope,75167312,6400485363030
78039444,Owens Group,voice,21765440,6102456299199
86339940,"Wright, Randall and Hamilton",involve,32687813,7673198425633
81895052,Smith Group,any,14535234,9848471393590
40281367,Young-Avila,well,59685036,829708081691
85364327,"Reynolds, Thompson and Coleman",area,46236649,5326112454988
71191431,Weber Inc,visit,90194994,2560231092160
95676100,King PLC,material,84176452,8740754959941
23514994,Davis LLC,clear,38213248,4840256498449
15132742,Lee-Wright,natural,39116303,8734739540249
98674630,Pena-Mccoy,than,76671090,3954872272300
33523496,Farrell-May,both,56644345,6285856122412
52660745,Vasquez PLC,impact,61638388,6914964585881
49602256,"Chavez, Saunders and Craig",general,16727099,7023187703326
66556993,"Mclaughlin, Olsen and Rice",than,63118929,2854939847563
38863839,Davis-Hatfield,month,57294852,8456529396922
68749119,"Melton, Ward and Kennedy",write,27353963,5138160520948
41477804,"Smith, Whitaker and Williams",election,43645603,685519272408
26318824,Miller Group,majority,87084699,4021947425581
68199674,Campbell Group,professional,24402576,8663485402372
98925839,Bridges-King,religious,29910364,577128294339
10893892,Baker-Winters,picture,3224594,7433493640458
80597780,David Group,once,9995970,5394164135328
34344067,"Vasquez, Moody and Howell",maybe,71910598,1469539213184
31766924,Hood LLC,economic,12532167,4403189554344
56722144,"Hart, Woods and Wright",start,19682247,1883184968101
13315040,Schmitt-Murphy,career,91317744,726020776129
39097284,Williams LLC,lawyer,91199592,2628076605367
53567574,"Stanley, Hall and House",consumer,94921740,9465105222556
18859319,Duncan-Stephens,she,79775864,1814111853781
77451635,Boyd Inc,remember,69093830,8993030103788
44311514,Lee Inc,present,97689755,4157925530973
45617701,"Harris, Wilson and Gordon",commercial,8410409,5123660357049
62333787,Clark LLC,become,44572552,6498688555144
31218767,"Cisneros, Steele and Wright",middle,84954369,3011840943545
80618598,Jones Group,center,48013332,6584571004445
15544035,Williams PLC,coach,26264333,5989623992220
60106247,Smith-Murphy,tonight,97841771,1935079304161
25864899,Long Ltd,account,13348294,8731406384131
76602827,Mccann-Hughes,information,50673011,7148778203015
32067517,"Hernandez, Barrera and Garrison",put,22319216,127457566875
24748705,Bishop-Benjamin,see,95114301,1324547809099
66775917,"Wright, Chambers and Sullivan",cup,70528046,1932305776504
88335650,Peterson Group,director,90322370,2256262094961
47494156,Carter LLC,base,1717434,20420330628
28914296,Sexton Group,can,43541693,1395606268448
35925930,Reed and Sons,wide,79705494,1872956687853
69656940,Ortiz PLC,indeed,72916150,2281031249554
54908090,"Guzman, Jones and Moreno",left,6431535,7156326462838
35121713,Rodriguez Ltd,deep,76475161,2429757499398
74366794,Dudley Inc,to,66863921,8110905704441
56144170,"Wright, Chavez and Morales",not,41626642,2848845498587
75716097,"Serrano, Patterson and Huber",ground,55103498,7990914039528
28142695,Jackson LLC,forward,99697933,6495094905052
83326621,"Ibarra, Frazier and Shields",law,77728631,4713414248830
1188353,Francis Group,Congress,21362455,2657614298093
40633795,Cole and Sons,such,76650023,3523393121592
97568962,Black LLC,woman,5749154,1186331964752
