nro_seguro,nombre_aseguradora,cod_compania,tipo,Legajo,CUIT
2753760,White Group,5650860,party,44454618,3769847728978
8776268,Khan-Lee,2479193,no,9377456,2738417830675
874190,"Hall, Lowe and Smith",563647,concern,88275306,1121976204165
4737667,Obrien-James,5720009,above,72451614,1554415673946
4837161,Little PLC,4322589,recognize,443036,8053245048063
9469796,Miller PLC,273271,Mrs,75378560,2546909128835
8023353,"Garcia, Carroll and Cohen",769817,attention,79703327,3683876217271
2507332,Mejia-Garcia,4926365,because,53140119,4441020379853
4234878,Day-Hansen,4323366,front,44068292,7670688727972
7959082,Bryan-Doyle,8066934,watch,9766326,8361368986690
4222855,"Kemp, Nguyen and Douglas",7596247,crime,38955410,3002971311452
8115876,"Collier, Savage and Barnes",8972230,face,17561365,8449297477148
9855297,Clark-Cruz,9035928,focus,81262665,9942639601705
1697681,"Finley, Hamilton and Ortiz",5034927,parent,36339041,2834380646372
3661783,Mckinney Ltd,5190754,send,97351953,7578341400777
7260994,"Frederick, Acevedo and Carroll",2679745,lead,14519263,1061879797484
4584223,Shepard Inc,7100564,feeling,35386437,5032112631573
4983177,"Jimenez, Sanchez and Brown",1641281,hold,78028169,5322357894107
4032887,Davenport-Guzman,1427996,heart,16970133,2815696474543
886236,Cline Inc,5090609,someone,57358224,688355753249
1934961,Gonzales LLC,5965247,moment,45841257,2078861570438
4539076,"Wolfe, Jennings and Newman",8761109,become,46295414,9837672013920
1483699,"Cook, Nunez and Sanders",3410762,wonder,7221224,8607527062495
3111405,"Smith, Velazquez and Mccarthy",6054642,leave,90121075,9229582250883
4258243,Patton Ltd,2992019,someone,13819278,1938869752383
1159846,Brandt-Moreno,3635697,wife,58999677,1626919332087
2666299,"Mitchell, Arnold and Cook",9695931,behind,96477028,2866729485559
375016,"Cummings, Robbins and Caldwell",9428826,she,14738971,1585600308252
2146979,Salas Ltd,1168281,collection,34192909,800915889059
8690024,"Morrow, Walker and Smith",3982643,final,94040979,4900260370315
6380687,Gonzalez and Sons,6139134,option,88345050,4803518406286
2154757,Turner PLC,2019725,contain,48736554,6804600926021
8480876,Cannon-Johnson,9665174,develop,52251731,2992092601677
8077914,Green-Velez,7905560,lose,68207373,5782541400374
7264992,Barron-Garcia,3446820,capital,18922637,3756328197888
8894251,"Moran, Archer and Carlson",7828569,life,68258233,7334206214209
1444290,Le-Hester,7819980,American,89077799,318843503288
9863270,Lee-Hall,942513,cup,15992785,7180820814992
4502206,Wong-Mcdowell,4256840,their,67184181,1155108591916
8868225,Carroll-Garcia,9652382,anything,94011821,294212447218
