nro_seguro,nro_documento,porcentaje
4925963,678920805,48
3214783,708311845,100
8253112,727380563,88
4797646,589953399,31
3902741,731372418,26
7858271,698407288,68
8750969,823039187,9
602763,724046631,21
1880176,341223500,57
3373701,444174347,20
7568800,515485385,7
7248987,512348059,69
3762633,468480540,88
529507,312382909,58
4561405,499963563,61
1795398,839160534,61
57157,830075066,50
6441026,116619570,9
5173972,271618169,43
7271682,195543528,50
4287077,554494371,67
2910837,344911199,46
19953,389622634,72
7354776,239745533,80
2026347,712499784,80
7598247,106935951,24
8548337,507241991,83
6224987,670542263,62
7283450,613897634,52
2714276,933997523,52
6627072,721429522,58
8348873,816937624,89
8028992,673203193,94
8075181,23130702,39
191075,188310871,66
8684275,573815465,62
9596136,468015547,84
8405777,323167919,87
7785751,833261831,28
8717521,501339525,76
2920562,904476739,23
9544935,172733006,73
3864629,88742499,5
5860958,403327096,16
3361368,281137564,38
974212,304929872,14
2365986,225334269,57
1625119,524542450,53
7187853,142716852,71
1287001,185697795,91
8887974,302463056,34
8191151,797625241,62
1051564,323799811,10
9293914,549007678,76
5673741,528210368,89
3569024,431820414,66
9698029,196527930,22
6784052,514586435,35
5369115,142927991,61
8551911,190085015,85
348953,670895154,6
327884,236840108,69
2988032,556630612,28
1360543,271154608,25
7163992,321225962,65
7635468,37969687,51
434082,170315852,38
3339658,996720040,51
8620327,537880139,3
6378654,975920267,58
2200582,364245289,23
6803424,815669369,4
3179983,179527761,39
7854410,172446856,96
4745511,247525377,35
6236618,967873906,35
5251107,813504467,85
7645482,562366697,80
7315691,227926825,11
680411,893289825,42
1733924,76684728,91
106405,482355765,73
9586337,218229599,50
4192448,283017887,20
9329865,834995927,23
3321787,64008889,90
2784375,808426185,30
5091249,680260472,6
6209105,91367565,78
4598665,809778571,46
386970,459214383,12
4428070,780603525,98
952069,174395417,1
2387291,530603436,59
8124309,508567608,70
1692611,190560781,99
7267082,992498510,83
3512384,356207713,70
9974876,900005103,51
469125,848624754,58
9347090,531695333,5
9515583,824447282,85
7751021,574914130,89
6896196,563584037,51
4733352,363651726,6
9319732,521544831,12
9796252,661652049,47
8262880,179078147,5
3342982,945432295,18
2487382,737628411,65
5197309,212301474,76
2460610,462918084,52
3025112,326211571,31
5799231,681910297,50
4029804,939221174,31
9572938,480511867,84
1464539,468433679,1
1187060,301673914,25
6709183,839742501,8
799558,96194676,91
1999861,636423632,44
2168293,851705956,6
5894522,209098076,43
5223317,744761273,13
5365014,530351250,91
6315259,850028286,65
2524974,863840452,26
2985208,180943848,78
1803690,234694640,88
3362710,327518307,22
1897076,598229274,90
7401377,564986386,99
302742,83185081,70
2828786,590026872,84
2393174,405825734,57
5253350,756163150,56
1676055,424765296,83
1529588,510945712,94
2619010,817131250,90
5760215,703890792,15
77565,567303848,14
3158858,279017834,29
6037956,243769220,36
3462872,603900564,90
1932392,861597042,63
729797,259529597,66
2505333,963218577,52
5882323,249193304,66
9627461,996286273,14
2134242,854855639,3
6484073,952474624,69
9703353,728529348,95
4874220,445403417,76
7458236,701991470,89
7897685,253501421,33
6371148,207064343,52
3417367,382935194,45
1839320,521661507,8
8607544,310528428,18
6603147,981928429,37
2891162,494426852,7
3337049,604897407,57
2302199,678473188,72
4046482,97806301,68
443790,130598649,96
886561,537802172,44
1425202,959256629,32
7218659,315071641,65
8376577,713863337,34
294781,206014464,58
5067821,808481614,46
5704093,191324705,78
2595824,666136975,24
7025899,728203933,84
6356491,530567472,4
1235145,325507480,20
2706403,263794893,14
9800297,720115012,65
246547,439728517,64
4835511,960948139,51
18028,719976488,84
5274941,220403072,42
6327797,343502305,65
2631421,143674394,16
7688816,116877469,89
8995737,99149488,87
3296756,955169202,93
7044810,511120975,27
3299100,785499408,52
8688774,651188182,77
5325718,462793039,78
1656171,264796973,72
1463110,448100063,55
6647622,630057718,33
2110033,323066971,61
6839612,605021765,62
3183986,696628328,61
3969126,350246959,28
9978231,381100717,41
9476526,470769710,22
4836686,822111934,100
2012320,330324194,92
2195832,136602949,15
3175206,132967397,64
1998723,729087198,90
7325872,833950866,99
5929255,928487983,28
1829480,874275545,48
2503064,777024898,16
3860324,957736607,30
541145,854754565,26
295584,786858780,22
7732025,149590694,42
36080,824236230,100
8943152,189232455,68
4710009,226407812,23
6494464,421828599,3
6804803,94840288,98
6094567,663078813,82
1788793,385790217,46
4563473,865146097,94
7813140,685867349,30
158911,138497900,31
1166663,350924519,14
9738602,845038524,8
6458185,290038569,9
2830999,638383116,53
8717979,371712767,72
9729736,85139722,19
2285327,145263723,74
4792419,527138476,52
981555,229014499,39
3801859,246811375,96
9830299,218712858,22
3754906,407908808,61
1305941,28373786,83
2379815,962002429,56
1144278,329255868,17
8177194,619998572,17
3183986,211808415,79
3503243,317443110,24
7319540,795309432,83
64704,793386610,85
3133589,665016081,28
7997185,704288555,53
2078082,946081512,8
3994393,179158945,15
4614831,693217364,97
9503068,407790811,32
1504610,971552566,12
2955329,358105457,69
9528110,113855892,23
8218485,940437532,42
6091294,593812843,70
8319905,986194091,72
8814810,621243877,80
7372963,876362319,88
1688687,812985332,91
1929072,719602796,57
4734097,261555806,94
8983370,416823025,20
1917376,967068818,54
5771626,761962960,11
2896756,424537073,50
2852504,22983072,78
5255447,280623014,81
6239692,462131712,96
1534589,944509912,18
8472545,81067566,31
3750647,708532222,73
3429761,129352924,65
177035,532199083,19
8155723,610009291,47
1197766,993977092,98
5782357,125090040,90
1667394,145476430,13
9545457,623999240,56
8517184,522027678,53
906958,151997407,65
3443296,280499705,7
8959404,52888870,48
5918220,767193160,75
6728533,576348254,25
8961347,183116379,26
5083866,801102466,5
848704,558403675,27
3933671,946481461,7
3289139,148772795,51
2811555,640329457,17
4501004,957262652,28
2516827,803884450,70
3273535,986194091,71
4953934,236834559,42
8623817,449995093,56
1175192,60521690,72
4847817,433670748,44
3611427,75395200,18
8337814,625087101,55
3697738,220847243,91
9328122,708807626,76
4249060,324260527,46
8852440,59123635,74
1466053,104257192,48
8141923,475824810,54
6423051,58674929,20
5211075,37343343,68
9023947,654789381,51
5649328,773185664,3
7471357,672767538,13
8903215,610843719,94
2406624,674683479,33
796775,869425210,60
8826712,838463244,94
5495746,340939352,25
1327338,680101551,97
5635428,48843497,73
3838770,839364414,59
7460370,460183363,25
8620374,384244231,34
2568934,318869314,84
1676192,890001708,8
7794154,712623453,54
574853,774793648,8
593882,26552071,98
3813169,20134221,51
7648629,233000600,63
6805390,578193239,93
7799098,564477195,55
7855968,115594486,11
8492270,792351701,28
5438217,536588283,93
3847221,842293523,7
9447775,618361194,88
1662641,560169645,36
1531691,797634093,68
7860513,816761056,13
559107,797091566,13
8677261,711224955,85
7692241,925319082,75
9427774,601310971,75
1426543,969842702,63
8791412,237764447,24
6406468,204505138,91
2332752,678992875,83
5112471,32413117,93
1365659,474317314,76
6174651,177391196,47
2163142,252737873,73
3636383,30961628,93
9385353,196458107,91
7255144,545985618,45
6684649,866296819,22
6298496,508168542,56
4193028,68060436,24
686208,544962913,9
752053,198940337,41
747737,239320100,32
164959,666727551,32
7717894,419321783,10
5813357,607372313,98
3701437,969897390,93
6799554,683865766,90
3895989,220365050,70
2105453,884124315,39
8767478,983838609,52
8830942,786295634,50
5036484,686161138,68
8549382,598161318,7
2782689,776473653,58
